title,link,description
Applied System Innovation,https://www.mdpi.com/journal/asi,"Applied System Innovation is an international, peer-reviewed, open access journal on integrated engineering and technology. The journal is owned by the International Institute of Knowledge Innovation and Invention (IIKII) and is published bimonthly online by MDPI."
AppliedChem,https://www.mdpi.com/journal/appliedchem,"AppliedChem is an international, peer-reviewed, open access journal on all aspects of applied chemistry published quarterly online by MDPI."
AppliedMath,https://www.mdpi.com/journal/appliedmath,"AppliedMath is an international, peer-reviewed, open access journal on applied mathematics published quarterly online by MDPI."
Aquaculture Journal,https://www.mdpi.com/journal/aquacj,"Aquaculture Journal is an international, peer-reviewed, open access journal on aquaculture-related aquatic science published quarterly online by MDPI."
Architecture,https://www.mdpi.com/journal/architecture,"Architecture is an international, peer-reviewed, open access journal on studies related to architectural research published quarterly online by MDPI."
Arthropoda,https://www.mdpi.com/journal/arthropoda,"Arthropoda - formerly Entomology - is an international, peer-reviewed, open access journal on the study of arthropods published quarterly online by MDPI."
Arts,https://www.mdpi.com/journal/arts,"Arts is an international, peer-reviewed, open access journal promoting significant research on all aspects of the visual and performing arts, published bimonthly online by MDPI."
Astronomy,https://www.mdpi.com/journal/astronomy,"Astronomy is an international, peer-reviewed, open access journal on observational astronomy, theoretical astronomy and other specific subfields published quarterly online by MDPI."
Atmosphere,https://www.mdpi.com/journal/atmosphere,"Atmosphere is an international, peer-reviewed, open access journal of scientific studies related to the atmosphere published monthly online by MDPI. The Italian Aerosol Society (IAS) and Working Group of Air Quality in European Citizen Science Association (ECSA) are affiliated with Atmosphere and their members receive a discount on the article processing charges."
Atoms,https://www.mdpi.com/journal/atoms,"Atoms is an international, peer-reviewed, open access journal on all aspects of the atom published monthly online by MDPI."
Audiology Research,https://www.mdpi.com/journal/audiolres,"Audiology Research is an international, scientific, peer-reviewed, open access journal on audiology and neurotology, published bimonthly online by MDPI (from Volume 10, Issue 2 - 2020). The Italian Society of Vestibology (VIS) is affiliated with Audiology Research and its members receive a discount on the article processing charges."
Automation,https://www.mdpi.com/journal/automation,"Automation is an international, peer-reviewed, open access journal on automation and control systems published quarterly online by MDPI."
Axioms,https://www.mdpi.com/journal/axioms,"Axioms is an international, peer-reviewed, open access journal of mathematics, mathematical logic and mathematical physics, published monthly online by MDPI. The European Society for Fuzzy Logic and Technology (EUSFLAT), International Fuzzy Systems Association (IFSA) and Union of Slovak Mathematicians and Physicists (JSMF) are affiliated with Axioms and their members receive discounts on the article processing charges."
Bacteria,https://www.mdpi.com/journal/bacteria,"Bacteria is an international, peer-reviewed, open access journal on bacteriology published quarterly online by MDPI."
Batteries,https://www.mdpi.com/journal/batteries,"Batteries is an international, peer-reviewed, open access journal on battery technology and materials published monthly online by MDPI. International Society for Porous Media (InterPore) is affiliated with Batteries and their members receive discounts on the article processing charges."
Behavioral Sciences,https://www.mdpi.com/journal/behavsci,"Behavioral Sciences is an international, peer-reviewed, open access journal on psychology, neuroscience, cognitive science, behavioral biology and behavioral genetics published monthly online by MDPI."
Beverages,https://www.mdpi.com/journal/beverages,"Beverages is an international, peer-reviewed, open access journal on beverage research and development published quarterly online by MDPI."
Big Data and Cognitive Computing,https://www.mdpi.com/journal/BDCC,"Big Data and Cognitive Computing is an international, peer-reviewed, open access journal on big data and cognitive computing published monthly online by MDPI."
BioChem,https://www.mdpi.com/journal/biochem,"BioChem is an international, peer-reviewed, open access journal on biochemistry published quarterly online by MDPI."
Bioengineering,https://www.mdpi.com/journal/bioengineering,"Bioengineering is an international, scientific, peer-reviewed, open access journal on the science and technology of bioengineering, published monthly online by MDPI. The Society for Regenerative Medicine (Russian Federation) (RPO) is affiliated with Bioengineering and its members receive discounts on the article processing charges."
Biologics,https://www.mdpi.com/journal/biologics,"Biologics is an international, peer-reviewed, open access journal on all areas of biologics derived from both novel and established biotechnologies, published quarterly online by MDPI."
Biology,https://www.mdpi.com/journal/biology,"Biology is an international, peer-reviewed, open access journal of biological sciences published monthly online by MDPI. The Spanish Society for Nitrogen Fixation (SEFIN) and Federation of European Laboratory Animal Science Associations (FELASA) are affiliated with Biology, and their members receive discounts on the article processing charges."
Biology and Life Sciences Forum*,https://www.mdpi.com/journal/blsf,"Biology and Life Sciences Forum is an open access journal dedicated to publishing findings resulting from conferences, workshops, and similar events, in all areas of biology, life sciences and at the interface of related disciplines. The conference organizers and proceedings editors are responsible for managing the peer-review process and selecting papers for conference proceedings."
Biomass,https://www.mdpi.com/journal/biomass,"Biomass is an international, peer-reviewed, open access journal on biomass conversion and biorefinery published quarterly online by MDPI."
Biomechanics,https://www.mdpi.com/journal/biomechanics,"Biomechanics is an international, peer-reviewed, open access journal on biomechanics research published quarterly online by MDPI."
BioMed,https://www.mdpi.com/journal/biomed,"BioMed is an international, peer-reviewed, open access journal on the broad field of subjects in human life science and medicine published quarterly online by MDPI."
Biomedicines,https://www.mdpi.com/journal/biomedicines,"Biomedicines is an international, peer-reviewed, open access journal on biomedicines published monthly online by MDPI. The Society for Regenerative Medicine (Russian Federation) (RPO) is affiliated with Biomedicines and its members receive discounts on the article processing charges."
BioMedInformatics,https://www.mdpi.com/journal/biomedinformatics,"BioMedInformatics is an international, peer-reviewed, open access journal on all areas of biomedical informatics, as well as computational biology and medicine, published quarterly online by MDPI."
Biomimetics,https://www.mdpi.com/journal/biomimetics,"Biomimetics is an international, peer-reviewed, open access journal on biomimicry and bionics, published monthly online by MDPI. The International Society of Bionic Engineering (ISBE) is affiliated with Biomimetics."
Biomolecules,https://www.mdpi.com/journal/biomolecules,"Biomolecules is a peer-reviewed, open access journal on structures and functions of bioactive and biogenic substances, molecular mechanisms with biological and medical implications as well as biomaterials and their applications. Biomolecules is published monthly online by MDPI. The Spanish Society for Biochemistry and Molecular Biology (SEBBM) is affiliated with Biomolecules and their members receive discounts on the article processing charges."
Biophysica,https://www.mdpi.com/journal/biophysica,"Biophysica is an international, peer-reviewed, open access journal on applying the methods of physics, chemistry, and math to study biological systems, published quarterly online by MDPI."
Biosensors,https://www.mdpi.com/journal/biosensors,"Biosensors is an international, peer-reviewed, open access journal on the technology and science of biosensors published monthly online by MDPI."
BioTech,https://www.mdpi.com/journal/biotech,"BioTech - formerly High-Throughput - is an international, peer-reviewed, open access journal on biotechnology, published quarterly online by MDPI."
Birds,https://www.mdpi.com/journal/birds,"Birds is an international, peer-reviewed, open access journal on ornithology published quarterly online by MDPI."
Blockchains,https://www.mdpi.com/journal/blockchains,"Blockchains is an international, peer-reviewed, open access journal on blockchain and its applications published quarterly online by MDPI."
Brain Sciences,https://www.mdpi.com/journal/brainsci,"Brain Sciences is an international, peer-reviewed, open access journal on neuroscience published monthly online by MDPI."
Buildings,https://www.mdpi.com/journal/buildings,"Buildings is an international, peer-reviewed, open access journal on building science, building engineering and architecture published monthly online by MDPI. The International Council for Research and Innovation in Building and Construction (CIB) is affiliated with Buildings and their members receive a discount on the article processing charges."
Businesses,https://www.mdpi.com/journal/businesses,"Businesses is an international, peer-reviewed, open access journal on business published quarterly online by MDPI."
C,https://www.mdpi.com/journal/carbon,"C — Journal of Carbon Research is an international, scientific, peer-reviewed, open access journal on carbon research, published quarterly online by MDPI. The Spanish Carbon Group (GEC) is affiliated with C — Journal of Carbon Research and its members receive discounts on article processing charges."
Cancers,https://www.mdpi.com/journal/cancers,"Cancers is a peer-reviewed, open access journal of oncology, published semimonthly online by MDPI. The Irish Association for Cancer Research (IACR), Spanish Association for Cancer Research (ASEICA), Biomedical Research Centre (CIBM), British Neuro-Oncology Society (BNOS) and Spanish Group for Cancer Immuno-Biotherapy (GÉTICA) are affiliated with Cancers and their members receive a discount on the article processing charges."
Cardiogenetics,https://www.mdpi.com/journal/cardiogenetics,"Cardiogenetics is an international, scientific, peer-reviewed, open access journal, published quarterly online by MDPI (from Volume 10 Issue 2 - 2020)."
Catalysts,https://www.mdpi.com/journal/catalysts,Catalysts is a peer-reviewed open access journal of catalysts and catalyzed reactions published monthly online by MDPI. The Romanian Catalysis Society (RCS) are partners of Catalysts journal and its members receive a discount on the article processing charge.
Cells,https://www.mdpi.com/journal/cells,"Cells is an international, peer-reviewed, open access journal on cell biology, molecular biology, and biophysics, published semimonthly online by MDPI. The Spanish Society for Biochemistry and Molecular Biology (SEBBM), Nordic Autophagy Society (NAS), Spanish Society of Hematology and Hemotherapy (SEHH) and Society for Regenerative Medicine (Russian Federation) (RPO) are affiliated with Cells and their members receive discounts on the article processing charges."
Ceramics,https://www.mdpi.com/journal/ceramics,"Ceramics is an international, peer-reviewed, open access journal of ceramics science and engineering, published quarterly online by MDPI."
Challenges,https://www.mdpi.com/journal/challenges,"Challenges is an interdisciplinary, peer-reviewed, open access journal that welcomes contributions to any problem, or any aspect of the Grand Challenges facing our world and our societies today. It is published quarterly online by MDPI and addresses the pressing need to accelerate integrated cross-sectoral discourse and collaborative solutions to improve every aspect of life on our planet. Challenges is part of the growing planetary health movement. The Nova Network (formerly inVIVO Planetary Health) is affiliated with Challenges, and is a member of the Planetary Health Alliance."
ChemEngineering,https://www.mdpi.com/journal/ChemEngineering,"ChemEngineering is an international, peer-reviewed, open access journal on the science and technology of chemical engineering, published bimonthly online by MDPI."
Chemistry,https://www.mdpi.com/journal/chemistry,"Chemistry is an international, peer-reviewed, open access journal on chemistry published bimonthly online by MDPI."
Chemistry Proceedings*,https://www.mdpi.com/journal/chemproc,"Chemistry Proceedings is an open access journal dedicated to publishing findings resulting from conferences, workshops, and similar events, in all areas of chemistry. The conference organizers and proceedings editors are responsible for managing the peer review process and selecting papers for conference proceedings."
Chemosensors,https://www.mdpi.com/journal/chemosensors,"Chemosensors is an international, scientific, peer-reviewed, open access journal on the science and technology of chemical sensors and related analytical methods and systems, published monthly online by MDPI."
Children,https://www.mdpi.com/journal/children,"Children is an international, peer-reviewed, open access journal on children’s health published monthly online by MDPI."
Chips,https://www.mdpi.com/journal/chips,"Chips is an international, peer-reviewed, open access journal on all aspects of chips published quarterly online by MDPI."
CivilEng,https://www.mdpi.com/journal/civileng,"CivilEng is an international, peer-reviewed, open access journal of civil engineering, published quarterly online by MDPI."
Clean Technologies,https://www.mdpi.com/journal/cleantechnol,"Clean Technologies is an international, peer-reviewed, open access journal of scientific research on technology development aiming to reduce the environmental impact of human activities, and is published quarterly online by MDPI."
Climate,https://www.mdpi.com/journal/climate,"Climate is a scientific, peer-reviewed, open access journal of climate science published online monthly by MDPI. The American Society of Adaptation Professionals (ASAP) is affiliated with Climate and its members receive discounts on the article processing charges."
Clinical and Translational Neuroscience,https://www.mdpi.com/journal/ctn,"Clinical and Translational Neuroscience is an international, peer-reviewed, open access journal on neuroscience. The journal is owned by the Swiss Federation of Clinical Neuro-Societies and is published quarterly online by MDPI (from Volume 5 Issue 2-2021)."
Clinics and Practice,https://www.mdpi.com/journal/clinpract,"Clinics and Practice is an international, scientific, peer-reviewed, open access journal on clinical medicine, published bimonthly online by MDPI (from Volume 11, Issue 1 - 2021)."
Clocks & Sleep,https://www.mdpi.com/journal/clockssleep,"Clocks & Sleep is a peer-reviewed, open access journal that investigates a wide range of sleep related topics and is published quarterly online by MDPI. The Australasian Chronobiology Society, Society for Light Treatment and Biological Rhythms, and Swiss Society of Sleep Research, Sleep Medicine and Chronobiology are affiliated with Clocks & Sleep and the society members receive a discount on the article processing charges."
Coasts,https://www.mdpi.com/journal/coasts,"Coasts is an international, peer-reviewed, open access journal on coastal engineering, management, conservation, biology and ecology, published quarterly online by MDPI."
Coatings,https://www.mdpi.com/journal/coatings,"Coatings is an international, peer-reviewed, open access journal on coatings and surface engineering published monthly online by MDPI. The Korean Tribology Society (KTS) is affiliated with Coatings and its members receive discounts on the article processing charges."
Colloids and Interfaces,https://www.mdpi.com/journal/colloids,"Colloids and Interfaces is an international, peer-reviewed, open access journal on colloids and interfaces chemistry published bimonthly online by MDPI."
Colorants,https://www.mdpi.com/journal/colorants,"Colorants is an international, peer-reviewed, open access journal on all aspects of coloring matters published quarterly online by MDPI."
Commodities,https://www.mdpi.com/journal/commodities,"Commodities is an international, peer-reviewed, open access journal on economics, finance, and commerce published quarterly online by MDPI."
Complications,https://www.mdpi.com/journal/complications,"Complications (ISSN 2813-4966) is an international, peer-reviewed, open access journal on the prevention, diagnosis, etiology, and management of complications in all aspects of basic, translational, and clinical research, as well as epidemiology. The journal seeks to offer best practices and expert experience, and recommendations on intra-operative and post-operative adverse events, published quarterly online by MDPI."
Compounds,https://www.mdpi.com/journal/compounds,"Compounds is an international, peer-reviewed, open access journal on chemical compounds published quarterly online by MDPI."
Computation,https://www.mdpi.com/journal/computation,Computation is a peer-reviewed journal of computational science and engineering published monthly online by MDPI.
Computer Sciences & Mathematics Forum*,https://www.mdpi.com/journal/csmf,"Computer Sciences & Mathematics Forum is an open access journal dedicated to publishing findings resulting from academic conferences, workshops, and similar events in the area of computer science and mathematics. Each conference proceeding can be individually indexed, is citable via a digital object identifier (DOI), and is freely available under an open access license. The conference organizers and proceedings editors are responsible for managing the peer-review process and selecting papers for conference proceedings."
Computers,https://www.mdpi.com/journal/computers,"Computers is an international, scientific, peer-reviewed, open access journal of computer science, including computer and network architecture and computer–human interaction as its main foci, published monthly online by MDPI."
Condensed Matter,https://www.mdpi.com/journal/condensedmatter,"Condensed Matter is an international, peer-reviewed, open access journal on the physics of condensed matter published quarterly online by MDPI."
Conservation,https://www.mdpi.com/journal/conservation,"Conservation is an international, peer-reviewed, open access journal on the biological, sociological, ethical, and economic and other transdisciplinary dimensions of conservation, published quarterly online by MDPI. The World Association of Zoos and Aquariums (WAZA) is affiliated with Conservation and its members receive discounts on the article processing charges."
Construction Materials,https://www.mdpi.com/journal/constrmater,"Construction Materials is an international, peer-reviewed, open access journal on construction materials published quarterly online by MDPI."
Corrosion and Materials Degradation,https://www.mdpi.com/journal/cmd,"Corrosion and Materials Degradation is an international, peer-reviewed, open access journal on corrosion, environment-assisted degradation, corrosion mitigation, corrosion mechanism and corrosion monitoring, published quarterly online by MDPI."
Cosmetics,https://www.mdpi.com/journal/cosmetics,"Cosmetics is an international, scientific, peer-reviewed, open access journal on the science and technology of cosmetics published bimonthly online by MDPI."
COVID,https://www.mdpi.com/journal/covid,"COVID is an international, peer-reviewed, open access journal on the study of coronaviruses, coronavirus-related diseases and global impact, published monthly online by MDPI."
Crops,https://www.mdpi.com/journal/crops,"Crops is an international, peer-reviewed, open access journal on the science and technology of crops published quarterly online by MDPI."
Cryptography,https://www.mdpi.com/journal/cryptography,"Cryptography is an international, scientific, peer-reviewed, open access journal on cryptography published quarterly online by MDPI."
Crystals,https://www.mdpi.com/journal/crystals,"Crystals is an international, peer-reviewed, open access journal on Crystallography published monthly online by MDPI. The Professional Committee of Key Materials and Technology for Electronic Components (PC-KMTEC) is affiliated with Crystals and its members receive discounts on the article processing charges."
Current Issues in Molecular Biology,https://www.mdpi.com/journal/cimb,"Current Issues in Molecular Biology is an international, scientific, peer-reviewed, open access journal on molecular biology, published monthly online by MDPI (from Volume 43 Issue 1-2021)."
Current Oncology,https://www.mdpi.com/journal/curroncol,"Current Oncology is an international, peer-reviewed, open access journal published online by MDPI (from Volume 28 Issue 1-2021). Established in 1994, the journal represents a multidisciplinary medium for clinical oncologists to report and review progress in the management of this disease. The Canadian Association of Medical Oncologists (CAMO), the Canadian Association of Psychosocial Oncology (CAPO), the Canadian Association of General Practitioners in Oncology (CAGPO), the Cell Therapy Transplant Canada (CTTC), the Canadian Leukemia Study Group (CLSG) and others are affiliated with the journal and their members receive a discount on the article processing charges."
Dairy,https://www.mdpi.com/journal/dairy,"Dairy is an international, peer-reviewed, open access journal on dairy science published quarterly online by MDPI."
Data,https://www.mdpi.com/journal/data,"Data is a peer-reviewed, open access journal on data in science, with the aim of enhancing data transparency and reusability. The journal publishes in two sections: a section on the collection, treatment and analysis methods of data in science; a section publishing descriptions of scientific and scholarly datasets (one dataset per paper). The journal is published monthly online by MDPI."
Dentistry Journal,https://www.mdpi.com/journal/dentistry,"Dentistry Journal is an international, peer-reviewed, open access journal on dentistry published monthly online by MDPI."
Dermato,https://www.mdpi.com/journal/dermato,"Dermato is an international, peer-reviewed, open access journal on skin science published quarterly online by MDPI."
Dermatopathology,https://www.mdpi.com/journal/dermatopathology,"Dermatopathology is an international, peer-reviewed, open access journal on dermatopathology. The journal is owned by the European Society of Dermatopathology (ESDP) and is published quarterly online by MDPI (since Volume 7 Issue 1 - 2020)."
Designs,https://www.mdpi.com/journal/designs,"Designs is an international, peer-reviewed, open access journal of engineering designs published bimonthly online by MDPI."
Diabetology,https://www.mdpi.com/journal/diabetology,"Diabetology is an international, peer-reviewed, open access journal on diabetes research published quarterly online by MDPI."
Diagnostics,https://www.mdpi.com/journal/diagnostics,"Diagnostics is an international, peer-reviewed, open access journal on medical diagnosis published semimonthly online by MDPI. The British Neuro-Oncology Society (BNOS), the International Society for Infectious Diseases in Obstetrics and Gynaecology (ISIDOG) and the Swiss Union of Laboratory Medicine (SULM) are affiliated with Diagnostics and their members receive a discount on the article processing charges."
Dietetics,https://www.mdpi.com/journal/dietetics,"Dietetics is an international, peer-reviewed, open access journal on all aspects of human dietetics published quarterly online by MDPI."
Digital,https://www.mdpi.com/journal/digital,"Digital is an international, peer-reviewed, open access journal on digital technologies and digital application, particularly with how such technologies affect our health, education and economy, published quarterly online by MDPI."
Disabilities,https://www.mdpi.com/journal/disabilities,"Disabilities is an international, peer-reviewed, open access journal on the physical, biopsychosocial, and environmental aspects of disability, published quarterly online by MDPI."
Diseases,https://www.mdpi.com/journal/diseases,"Diseases is an international, peer-reviewed, open access, multidisciplinary journal which focuses on the latest and outstanding research on diseases and conditions published monthly online by MDPI. The first issue is released in 2013."
Diversity,https://www.mdpi.com/journal/diversity,"Diversity is a peer-reviewed, open access journal on the science of biodiversity from molecules, genes, populations, and species, to ecosystems and is published monthly online by MDPI."
DNA,https://www.mdpi.com/journal/dna,"DNA is an international, peer-reviewed, open access journal on DNA and DNA-related technologies published quarterly online by MDPI."
Drones,https://www.mdpi.com/journal/drones,"Drones is an international, peer-reviewed, open access journal published monthly online by MDPI. The journal focuses on design and applications of drones, including unmanned aerial vehicle (UAV), Unmanned Aircraft Systems (UAS), and Remotely Piloted Aircraft Systems (RPAS), etc. Likewise, contributions based on unmanned water/underwater drones and unmanned ground vehicles are also welcomed."
Drugs and Drug Candidates,https://www.mdpi.com/journal/ddc,"Drugs and Drug Candidates is an international, peer-reviewed, open access journal on drug discovery, development, and knowledge, published quarterly online by MDPI."
Dynamics,https://www.mdpi.com/journal/dynamics,"Dynamics is an international, peer-reviewed, open access journal on physical process. Dynamics is published quarterly online by MDPI."
Earth,https://www.mdpi.com/journal/earth,"Earth is an international, peer-reviewed, open access journal on earth science, published quarterly online by MDPI."
Ecologies,https://www.mdpi.com/journal/ecologies,"Ecologies is an international, peer-reviewed, open access journal on all aspects of ecology published quarterly online by MDPI."
Econometrics,https://www.mdpi.com/journal/econometrics,"Econometrics is an international, peer-reviewed, open access journal on econometric modeling and forecasting, as well as new advances in econometrics theory, and is published quarterly online by MDPI."
Economies,https://www.mdpi.com/journal/economies,"Economies is an international, peer-reviewed, open access journal on development economics and macroeconomics, published monthly online by MDPI."
Education Sciences,https://www.mdpi.com/journal/education,"Education Sciences is an international, peer-reviewed, open access journal on education published monthly online by MDPI. The European Network of Sport Education (ENSE) is affiliated with Education Sciences and its members receive discounts on the article processing charges."
Electricity,https://www.mdpi.com/journal/electricity,"Electricity is an international, peer-reviewed, open access journal on electrical engineering published quarterly online by MDPI."
Electrochem,https://www.mdpi.com/journal/electrochem,"Electrochem is an international, peer-reviewed, open access journal on electrochemistry published quarterly online by MDPI."
Electronic Materials,https://www.mdpi.com/journal/electronicmat,"Electronic Materials is an international, peer-reviewed, open access journal on fundamental science, engineering, and practical applications of electronic materials published quarterly online by MDPI."
Electronics,https://www.mdpi.com/journal/electronics,"Electronics is an international, peer-reviewed, open access journal on the science of electronics and its applications published semimonthly online by MDPI. The Polish Society of Applied Electromagnetics (PTZE) is affiliated with Electronics and their members receive a discount on article processing charges."
Emergency Care and Medicine,https://www.mdpi.com/journal/ecm,"Emergency Care and Medicine is an international, peer-reviewed, open access journal on emergency medicine published quarterly online by MDPI."
Encyclopedia,https://www.mdpi.com/journal/encyclopedia,"Encyclopedia is an international, peer-reviewed, open access journal recording qualified entries of which contents should be reliable, objective and established knowledge, and reviews that offer a comprehensive analysis of the extant literature, identifying current gaps or problems. The section Encyclopedia Studies also accepts original research articles. The Encyclopedia Journal is published quarterly online by MDPI, and it is affiliated with the Encyclopedia platform."
Endocrines,https://www.mdpi.com/journal/endocrines,"Endocrines is an international, peer-reviewed, open access journal on endocrinology published quarterly online by MDPI."
Energies,https://www.mdpi.com/journal/energies,"Energies is a peer-reviewed, open access journal of related scientific research, technology development, engineering policy, and management studies related to the general field of energy, from technologies of energy supply, conversion, dispatch, and final use to the physical and chemical processes behind such technologies. Energies is published semimonthly online by MDPI. The European Biomass Industry Association (EUBIA), Association of European Renewable Energy Research Centres (EUREC), Institute of Energy and Fuel Processing Technology (ITPE), International Society for Porous Media (InterPore), CYTED and others are affiliated with Energies and their members receive a discount on the article processing charges."
Eng,https://www.mdpi.com/journal/eng,"Eng is an international, peer-reviewed, open access journal on all areas of engineering, published quarterly online by MDPI."
Engineering Proceedings*,https://www.mdpi.com/journal/engproc,"Engineering Proceedings is an open access journal dedicated to publishing findings resulting from conferences, workshops, and similar events, in all areas of engineering. The conference organizers and proceedings editors are responsible for managing the peer-review process and selecting papers for conference proceedings."
Entropy,https://www.mdpi.com/journal/entropy,"Entropy is an international and interdisciplinary peer-reviewed open access journal of entropy and information studies, published monthly online by MDPI. The International Society for the Study of Information (IS4SI) and Spanish Society of Biomedical Engineering (SEIB) are affiliated with Entropy and their members receive a discount on the article processing charge."
Environmental Sciences Proceedings*,https://www.mdpi.com/journal/environsciproc,"Environmental Sciences Proceedings is an open access journal dedicated to publishing findings resulting from conferences, workshops, and similar events, in all areas of environmental sciences. The conference organizers and proceedings editors are responsible for managing the peer-review process and selecting papers for conference proceedings."
Environments,https://www.mdpi.com/journal/environments,"Environments is an international, peer-reviewed, open access journal on environmental sciences published monthly online by MDPI."
